purpose	level	name	size	start	end
focus	pango_lineage	B.1.1.7	100	2020-09-01	
focus	pango_lineage	B.1.351	50	2020-09-01	
focus	pango_lineage	B.1.375	40	2020-09-01	
focus	pango_lineage	B.1.526	30	2020-09-01	
focus	pango_lineage	B.1.525	30	2020-09-01	
focus	pango_lineage	B.1.429	30	2020-09-01	
focus	pango_lineage	P.1	50	2020-09-01	
focus	country_exposure	USA	500	2020-09-01	
context	country_exposure	South Africa	80	2020-09-01	
context	region_exposure	Europe	200	2020-09-01	
context	region_exposure	Asia	80	2020-09-01	
context	country_exposure	Canada	100	2020-09-01	
ignore	country_exposure	India			
ignore	country_exposure	Bangladesh			
ignore	country_exposure	Saudi Arabia			
