USA/NY-Wadsworth-21001696-01/2020	24	-2.23	291	6		28911-28917	240,1058,1384,1737,2196,3036,3241,6610,7680,8015,10155,11915,14407,18746,20401,21613,23402,25562,25689,25895,27873,28086,28841,29620	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0477/2020	22	-1.7	0	6		28911-28917	240,1058,1384,1737,3036,3241,4134,6610,9918,11580,11915,13959,14407,16404,18325,19585,21033,23402,25562,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/NY-Wadsworth-21001695-01/2020	22	-4.23	162	6		28911-28917	240,1058,1384,1737,2196,3036,3241,6610,7680,7845,11915,14407,20401,21613,23402,25562,25689,25895,27873,28086,28841,29620	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0404/2020	21	-2.22	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11733,11736,11915,13959,14407,21033,23402,25562,26644,27691,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0457/2020	21	-2.7	0	6		28911-28917	240,1058,1384,1737,3036,3241,3438,4335,6610,11580,11915,12740,13959,14407,21033,23402,25562,26644,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0507/2020	21	-2.84	0	6		28911-28917	240,555,1058,1384,1737,3036,3241,6610,11580,11915,12472,13959,14407,21033,23402,25562,26644,28085,28086,28208,29419	28911,28912,28913,28914,28915,28916
USA/MD-CDC-2-3713971/2020	20	-5.14	24	6		28911-28917	240,1058,1384,1737,3036,3241,5076,6610,11580,11915,13959,14407,19815,21033,23402,25562,26644,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0504/2020	20	-3.84	0	6		28911-28917	240,1058,1384,1737,2196,3036,3241,4310,6610,7680,11915,14407,20401,22986,23402,25562,25689,27873,28086,29620	28911,28912,28913,28914,28915,28916
Japan/IC-0552/2020	20	nan	17	6		28911-28917	240,369,2284,3036,3392,4112,4319,5143,5906,7004,14407,21973,23190,23402,25570,27486,27533,28880,28881,28882	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0424/2020	19	-4.15	0	6		28911-28917	240,1058,1384,1737,2196,3036,3241,6610,7680,11915,14407,15456,20401,23402,25562,25689,27873,28086,29620	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0458/2020	19	-4.77	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,21033,23402,25562,26644,28085,28086,28208,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0466/2020	19	-4.7	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,21033,23402,25562,25843,26644,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0498/2020	19	-7.58	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,18130,21033,23402,25562,26463,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0499/2020	19	-7.58	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,18130,21033,23402,25562,26463,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0500/2020	19	-7.58	0	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,18130,21033,23402,25562,26463,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0377/2020	18	-4.6	80	6		28911-28917	240,1058,1384,1737,3036,3241,6610,11580,11915,13959,14407,21033,23402,25562,26644,28085,28086,29419	28911,28912,28913,28914,28915,28916
USA/MD-MDH-0379/2020	18	-4.6	0	6		28911-28917	240,1058,1384,1737,2196,3036,3241,6610,7680,11915,14407,20401,23402,25562,25689,27873,28086,29620	28911,28912,28913,28914,28915,28916
USA/NY-Wadsworth-276329-01/2020	18	-6.11	230	6		28911-28917	240,1058,1384,1737,3036,3241,4295,6610,11580,11915,14170,14407,16289,23402,23586,25562,28086,29027	28911,28912,28913,28914,28915,28916
USA/MD-HP12019/2020	18	-5.42	17	6		28911-28917	240,1058,1384,1737,2196,3036,3241,6610,7680,11915,14407,20401,23402,25562,25689,27873,28086,29620	28911,28912,28913,28914,28915,28916
